dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
clothing,baseline_noise_text,999,normal,,0.0659,0.0973,0.1513,0.0362,0.0441,0.0549,0.0069,0.0268,SMORE_clothing_baseline_seed999_noise_text.log,ok
clothing,baseline,999,normal,,0.066,0.0978,0.1516,0.0362,0.0442,0.055,0.0069,0.0268,SMORE_clothing_baseline_seed999_normal.log,ok
sports,FBG+MDR_drop_image,2024,normal,,0.0764,0.1149,0.1846,0.0418,0.0518,0.0659,0.0084,0.0304,SMORE_sports_FBG+MDR_seed2024_drop_image.log,ok
sports,FBG+MDR_drop_text,2024,normal,,0.0764,0.1146,0.1844,0.0419,0.0518,0.066,0.0084,0.0305,SMORE_sports_FBG+MDR_seed2024_drop_text.log,ok
sports,FBG+MDR_noise_both,2024,normal,,0.0755,0.1136,0.1832,0.0416,0.0514,0.0655,0.0083,0.0303,SMORE_sports_FBG+MDR_seed2024_noise_both.log,ok
sports,FBG+MDR_noise_image,2024,normal,,0.0753,0.1137,0.1829,0.0415,0.0514,0.0654,0.0083,0.0303,SMORE_sports_FBG+MDR_seed2024_noise_image.log,ok
sports,FBG+MDR_noise_text,2024,normal,,0.0753,0.1137,0.1835,0.0413,0.0512,0.0654,0.0083,0.03,SMORE_sports_FBG+MDR_seed2024_noise_text.log,ok
sports,FBG+MDR,2024,normal,,0.0753,0.1138,0.1836,0.0413,0.0513,0.0655,0.0083,0.0301,SMORE_sports_FBG+MDR_seed2024_normal.log,ok
sports,FBG+MDR_drop_image,42,normal,,0.0759,0.1142,0.1844,0.0418,0.0516,0.0659,0.0084,0.0304,SMORE_sports_FBG+MDR_seed42_drop_image.log,ok
sports,FBG+MDR_drop_text,42,normal,,0.0759,0.1142,0.1846,0.0418,0.0516,0.066,0.0084,0.0304,SMORE_sports_FBG+MDR_seed42_drop_text.log,ok
sports,FBG+MDR_noise_both,42,normal,,0.0746,0.1129,0.1837,0.0408,0.0507,0.0651,0.0082,0.0296,SMORE_sports_FBG+MDR_seed42_noise_both.log,ok
sports,FBG+MDR_noise_image,42,normal,,0.0747,0.1128,0.1837,0.0409,0.0507,0.0652,0.0082,0.0297,SMORE_sports_FBG+MDR_seed42_noise_image.log,ok
sports,FBG+MDR_noise_text,42,normal,,0.0746,0.1128,0.1835,0.0409,0.0507,0.0651,0.0082,0.0297,SMORE_sports_FBG+MDR_seed42_noise_text.log,ok
sports,FBG+MDR,42,normal,,0.0747,0.1128,0.184,0.0409,0.0507,0.0651,0.0082,0.0296,SMORE_sports_FBG+MDR_seed42_normal.log,ok
sports,FBG+MDR_drop_image,999,normal,,0.0751,0.1147,0.184,0.0412,0.0514,0.0654,0.0083,0.0299,SMORE_sports_FBG+MDR_seed999_drop_image.log,ok
sports,FBG+MDR_drop_text,999,normal,,0.0753,0.1143,0.1837,0.0412,0.0513,0.0654,0.0083,0.0299,SMORE_sports_FBG+MDR_seed999_drop_text.log,ok
sports,FBG+MDR_noise_both,999,normal,,0.0756,0.112,0.1816,0.0412,0.0506,0.0647,0.0083,0.0298,SMORE_sports_FBG+MDR_seed999_noise_both.log,ok
sports,FBG+MDR_noise_image,999,normal,,0.0754,0.1122,0.1811,0.041,0.0505,0.0645,0.0083,0.0296,SMORE_sports_FBG+MDR_seed999_noise_image.log,ok
sports,FBG+MDR_noise_text,999,normal,,0.0754,0.1123,0.182,0.0411,0.0506,0.0647,0.0083,0.0297,SMORE_sports_FBG+MDR_seed999_noise_text.log,ok
sports,FBG+MDR,999,normal,,0.0755,0.1123,0.1822,0.0411,0.0505,0.0647,0.0083,0.0297,SMORE_sports_FBG+MDR_seed999_normal.log,ok
sports,MDR_drop_image,2024,normal,,0.0765,0.1148,0.1838,0.042,0.0519,0.0659,0.0084,0.0306,SMORE_sports_MDR_seed2024_drop_image.log,ok
sports,MDR_drop_text,2024,normal,,0.0763,0.1146,0.1837,0.0419,0.0518,0.0659,0.0084,0.0305,SMORE_sports_MDR_seed2024_drop_text.log,ok
sports,MDR_noise_both,2024,normal,,0.0755,0.1136,0.183,0.0416,0.0514,0.0654,0.0083,0.0303,SMORE_sports_MDR_seed2024_noise_both.log,ok
sports,MDR_noise_image,2024,normal,,0.0757,0.1133,0.183,0.0416,0.0513,0.0654,0.0084,0.0303,SMORE_sports_MDR_seed2024_noise_image.log,ok
sports,MDR_noise_text,2024,normal,,0.0755,0.1136,0.1828,0.0415,0.0513,0.0653,0.0083,0.0302,SMORE_sports_MDR_seed2024_noise_text.log,ok
